"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.761139720E-1,8.135596663E-2,3.254238665E-1,9.725627899E0,9.731410870E0
6.784745970E-1,7.417750359E-2,3.421736360E-1,9.732806206E0,9.739101690E0
6.808352740E-1,4.067798331E-2,3.469592929E-1,9.739984512E0,9.746247162E0
6.831959510E-1,7.417750359E-2,3.373879790E-1,9.751948357E0,9.758064854E0
6.855565760E-1,5.742774159E-2,3.278166950E-1,9.723235130E0,9.728929187E0
6.879172540E-1,8.853443712E-2,3.469592929E-1,9.737591743E0,9.744173236E0
6.902778790E-1,7.657032460E-2,3.613162339E-1,9.744770050E0,9.751766802E0
6.926385560E-1,6.221338734E-2,3.254238665E-1,9.751948357E0,9.757574901E0
6.949991810E-1,5.982056633E-2,3.493520916E-1,9.737591743E0,9.744040145E0
6.973598580E-1,7.657032460E-2,3.661018610E-1,9.737591743E0,9.744772268E0
6.997204830E-1,6.221338734E-2,3.254238665E-1,9.737591743E0,9.743226579E0
7.020811600E-1,6.699903309E-2,3.182454109E-1,9.725627899E0,9.731064024E0
7.044418370E-1,5.742774159E-2,3.349951804E-1,9.720842361E0,9.726782404E0
7.068024100E-1,6.221338734E-2,3.397808075E-1,9.728020668E0,9.734151613E0
7.091631390E-1,6.939185411E-2,3.326023519E-1,9.742377281E0,9.748300090E0
7.115237640E-1,5.982056633E-2,3.684946895E-1,9.735198975E0,9.742354228E0
7.138844410E-1,7.417750359E-2,3.445664644E-1,9.723235130E0,9.729621254E0
7.162450660E-1,6.221338734E-2,3.349951804E-1,9.751948357E0,9.757898802E0
7.186057430E-1,6.460621208E-2,3.613162339E-1,9.749555588E0,9.756462348E0
7.209663680E-1,7.657032460E-2,3.613162339E-1,9.744770050E0,9.751766802E0
7.233270450E-1,5.264209956E-2,3.565305769E-1,9.732806206E0,9.739476469E0
7.256877220E-1,8.614161611E-2,3.326023519E-1,9.732806206E0,9.738868586E0
7.280483470E-1,6.939185411E-2,3.373879790E-1,9.749555588E0,9.755638372E0
7.304090240E-1,8.853443712E-2,3.445664644E-1,9.747162819E0,9.753653029E0
7.327696490E-1,5.264209956E-2,3.373879790E-1,9.735198975E0,9.741185806E0
7.351303260E-1,5.264209956E-2,3.397808075E-1,9.742377281E0,9.748442813E0
7.374909510E-1,8.374879509E-2,3.421736360E-1,9.754341125E0,9.760700152E0
7.398516290E-1,7.657032460E-2,3.373879790E-1,9.756733894E0,9.762865868E0
7.422122540E-1,6.699903309E-2,3.302095234E-1,9.747162819E0,9.752984683E0
7.445729310E-1,9.571290761E-2,3.254238665E-1,9.742377281E0,9.748280707E0
7.469335560E-1,8.374879509E-2,3.182454109E-1,9.720842361E0,9.726410963E0
7.492942330E-1,4.067798331E-2,3.326023519E-1,9.720842361E0,9.726615816E0
7.516549100E-1,6.221338734E-2,3.158525825E-1,9.747162819E0,9.752477448E0
7.540155350E-1,7.896314561E-2,3.397808075E-1,9.739984512E0,9.746229244E0
7.563762120E-1,6.460621208E-2,3.445664644E-1,9.747162819E0,9.753465181E0
7.587368370E-1,7.178468257E-2,3.469592929E-1,9.742377281E0,9.748817820E0
7.610975140E-1,4.785645381E-2,3.326023519E-1,9.739984512E0,9.745779233E0
7.634580870E-1,5.742774159E-2,3.397808075E-1,9.742377281E0,9.748469830E0
