Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),来源批次,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
32.6557502,0.0933200866,0.3469592929,9.732806206,9.739435611,data1,,,,
32.65811082,0.05503492057,0.337387979,9.749555588,9.755546814,data1,,,,
32.66047145,0.05982056633,0.342173636,9.730413437,9.736611677,data1,,,,
32.66283207,0.09092725813,0.3541377485,9.737591743,9.744453513,data1,,,,
32.6651927,0.06221338734,0.327816695,9.739984512,9.745698158,data1,,,,
32.66755332,0.07178468257,0.337387979,9.742377281,9.74848187,data1,,,,
32.66991395,0.09092725813,0.3326023519,9.742377281,9.748477172,data1,,,,
32.67227457,0.0765703246,0.3469592929,9.74477005,9.751245412,data1,,,,
32.6746352,0.07896314561,0.3589234054,9.751948357,9.758870731,data1,,,,
32.67699588,0.09810572863,0.3469592929,9.751948357,9.758611696,data1,,,,
32.6793565,0.08614161611,0.3326023519,9.725627899,9.731694751,data1,,,,
32.68171713,0.0765703246,0.3397808075,9.737591743,9.743818911,data1,,,,
32.68407775,0.08374879509,0.366101861,9.749555588,9.756786284,data1,,,,
32.68643838,0.07178468257,0.342173636,9.74477005,9.751039902,data1,,,,
32.688799,0.0765703246,0.337387979,9.759127617,9.765258087,data1,,,,
32.69115963,0.09092725813,0.35174492,9.735198975,9.741975741,data1,,,,
32.69352025,0.08374879509,0.3349951804,9.732806206,9.738929729,data1,,,,
32.69588088,0.08135596663,0.342173636,9.728020668,9.734376596,data1,,,,
32.6982415,0.06939185411,0.3637090325,9.72323513,9.730282673,data1,,,,
32.70060213,0.0765703246,0.342173636,9.735198975,9.741511427,data1,,,,
32.70296275,0.06939185411,0.337387979,9.749555588,9.755638372,data1,,,,
32.70532338,0.0765703246,0.366101861,9.74477005,9.751945289,data1,,,,
32.707684,0.08614161611,0.3302095234,9.735198975,9.74117846,data1,,,,
32.71004468,0.04307080805,0.366101861,9.742377281,9.749348735,data1,,,,
32.7124053,0.06460621208,0.3469592929,9.720842361,9.727246832,data1,,,,
32.71476593,0.05503492057,0.3565305769,9.759127617,9.765793093,data1,,,,
32.71712655,0.07178468257,0.3302095234,9.74477005,9.7506274,data1,,,,
32.71948718,0.05503492057,0.3349951804,9.751948357,9.757855674,data1,,,,
32.7218478,0.04307080805,0.337387979,9.74477005,9.75070403,data1,,,,
32.72420843,0.05982056633,0.3445664644,9.732806206,9.739087287,data1,,,,
32.72656905,0.08374879509,0.337387979,9.751948357,9.758142306,data1,,,,
32.72892968,0.07178468257,0.3230310678,9.739984512,9.745604158,data1,,,,
32.7312903,0.04785645381,0.3541377485,9.720842361,9.727408699,data1,,,,
32.73365093,0.08374879509,0.337387979,9.730413437,9.736621085,data1,,,,
32.73601155,0.07896314561,0.3230310678,9.72323513,9.728920066,data1,,,,
32.73837218,0.06221338734,0.3206382394,9.742377281,9.747850762,data1,,,,
32.7407328,0.0382851623,0.3469592929,9.725627899,9.73189008,data1,,,,
32.74309343,0.05264209956,0.3565305769,9.735198975,9.741867599,data1,,,,
32.74545405,0.08135596663,0.3493520916,9.72323513,9.729849283,data1,,,,
32.74781468,0.08853443712,0.3613162339,9.72323513,9.730348872,data1,,,,
32.75017536,0.08614161611,0.3565305769,9.737591743,9.744497288,data1,,,,
32.75253598,0.06221338734,0.3302095234,9.742377281,9.748170286,data1,,,,
32.7548966,0.06460621208,0.3565305769,9.737591743,9.74433071,data1,,,,
32.75725723,0.04546362907,0.3349951804,9.728020668,9.733893097,data1,,,,
32.75961786,0.05503492057,0.3302095234,9.749555588,9.755301191,data1,,,,
32.76197848,0.08614161611,0.342173636,9.728020668,9.734417769,data1,,,,
32.76433911,0.08853443712,0.3302095234,9.72323513,9.729243448,data1,,,,
32.76669973,0.0765703246,0.3565305769,9.74477005,9.75159066,data1,,,,
32.76906036,0.05503492057,0.3589234054,9.74477005,9.75153312,data1,,,,
32.77142098,0.07417750359,0.3565305769,9.751948357,9.758745468,data1,,,,
32.7737816,0.0765703246,0.3302095234,9.754341125,9.760229103,data1,,,,
32.77614223,0.07896314561,0.3469592929,9.742377281,9.74887332,data1,,,,
32.77850286,0.08853443712,0.3397808075,9.735198975,9.74152906,data1,,,,
32.78086353,0.06221338734,0.35174492,9.735198975,9.741750052,data1,,,,
32.78322416,0.06699903309,0.3565305769,9.751948357,9.758693543,data1,,,,
32.78558478,0.06460621208,0.3326023519,9.749555588,9.755441171,data1,,,,
32.78794541,0.07178468257,0.35174492,9.713663101,9.720294665,data1,,,,
32.79030603,0.05503492057,0.3397808075,9.737591743,9.743673476,data1,,,,
32.79266666,0.05264209956,0.3349951804,9.737591743,9.743494544,data1,,,,
32.79502728,0.05264209956,0.342173636,9.730413437,9.73657022,data1,,,,
32.79738791,0.06460621208,0.3541377485,9.725627899,9.732287786,data1,,,,
32.79974853,0.06221338734,0.3326023519,9.730413437,9.736295008,data1,,,,
32.80210916,0.0765703246,0.342173636,9.720842361,9.727164131,data1,,,,
32.80446978,0.05982056633,0.342173636,9.749555588,9.755741666,data1,,,,
32.80683041,0.06460621208,0.3493520916,9.72323513,9.729723647,data1,,,,
32.80919103,0.08135596663,0.337387979,9.730413437,9.736600798,data1,,,,
32.81155166,0.05982056633,0.342173636,9.735198975,9.74139417,data1,,,,
32.81391228,0.06221338734,0.3182454109,9.72323513,9.728640812,data1,,,,
32.81627291,0.08135596663,0.3469592929,9.732806206,9.739328323,data1,,,,
32.81863353,0.06221338734,0.3445664644,9.730413437,9.736711057,data1,,,,
32.82099421,0.08614161611,0.3302095234,9.728020668,9.734004563,data1,,,,
32.82335483,0.08135596663,0.3302095234,9.735198975,9.741137315,data1,,,,
32.82571546,0.05024927482,0.337387979,9.72323513,9.729216671,data1,,,,
32.82807608,0.07178468257,0.3254238665,9.725627899,9.731335559,data1,,,,
32.83043671,0.06221338734,0.3493520916,9.747162819,9.753619862,data1,,,,
32.83279733,0.08135596663,0.3349951804,9.74477005,9.750865802,data1,,,,
32.83515796,0.05503492057,0.3230310678,9.735198975,9.740712345,data1,,,,
32.83751858,0.06460621208,0.3254238665,9.728020668,9.733676632,data1,,,,
32.83987921,0.05503492057,0.35174492,9.730413437,9.736924514,data1,,,,
32.84223983,0.05024927482,0.3589234054,9.718449593,9.725205061,data1,,,,
32.84460041,0.07178468257,0.3349951804,9.718449593,9.72448648,data1,,,,
32.84696108,0.05024927482,0.342173636,9.730413437,9.736557576,data1,,,,
32.84932171,0.07178468257,0.3445664644,9.735198975,9.741559329,data1,,,,
32.85168233,0.05742774159,0.3254238665,9.735198975,9.740805804,data1,,,,
32.85404296,0.07178468257,0.3397808075,9.74477005,9.750956228,data1,,,,
32.85640364,0.06939185411,0.337387979,9.718449593,9.724551833,data1,,,,
32.85876426,0.07896314561,0.3254238665,9.737591743,9.743347927,data1,,,,
32.86112489,0.07417750359,0.337387979,9.747162819,9.753282318,data1,,,,
32.86348551,0.08374879509,0.3397808075,9.730413437,9.736704294,data1,,,,
32.86584614,0.04785645381,0.337387979,9.737591743,9.743552425,data1,,,,
32.86820676,0.0382851623,0.3469592929,9.74477005,9.751019938,data1,,,,
32.87056739,0.09571290761,0.35174492,9.725627899,9.732457217,data1,,,,
32.87292801,0.0765703246,0.337387979,9.730413437,9.736561986,data1,,,,
32.87528864,0.05742774159,0.3589234054,9.728020668,9.734809196,data1,,,,
32.87764926,0.07178468257,0.3493520916,9.749555588,9.756076777,data1,,,,
32.88000989,0.0765703246,0.3397808075,9.759127617,9.765341052,data1,,,,
32.88237051,0.06699903309,0.327816695,9.766305923,9.772035819,data1,,,,
32.88473114,0.0765703246,0.3732803464,9.771091461,9.778518782,data1,,,,
32.88709176,0.07178468257,0.3445664644,9.735198975,9.741559329,data1,,,,
32.88945239,0.06939185411,0.3445664644,9.725627899,9.731977153,data1,,,,
32.89181301,0.05742774159,0.337387979,9.74477005,9.750778016,data1,,,,
32.89417369,0.05024927482,0.3349951804,9.74477005,9.75065588,data1,,,,
32.89653431,0.09571290761,0.3589234054,9.759127617,9.766194695,data1,,,,
32.89889494,0.05982056633,0.3589234054,9.759127617,9.765908885,data1,,,,
