"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.961266730E-1,2.099847607E-2,-3.588830587E-3,-2.015853859E-2,2.932886600E-2
4.984873510E-1,2.160934173E-2,-1.756236190E-3,-2.138026804E-2,3.044936579E-2
5.008480280E-1,2.038761228E-2,-5.345066893E-4,-2.504545636E-2,3.229884389E-2
5.032086530E-1,1.977674663E-2,6.872228696E-4,-2.626718581E-2,3.288703442E-2
5.055692780E-1,1.855501719E-2,6.872228696E-4,-2.809977904E-2,3.368023931E-2
5.079299550E-1,1.977674663E-2,-1.145371469E-3,-2.871064469E-2,3.488169580E-2
5.102905800E-1,2.099847607E-2,-2.367100911E-3,-2.871064469E-2,3.564884686E-2
5.126512050E-1,1.916588284E-2,-1.756236190E-3,-2.871064469E-2,3.456467198E-2
5.150118820E-1,2.160934173E-2,-1.145371469E-3,-2.748891525E-2,3.498451068E-2
5.173725590E-1,1.977674663E-2,6.872228696E-4,-2.748891525E-2,3.387081995E-2
5.197331840E-1,1.977674663E-2,1.298087649E-3,-2.565632015E-2,3.241992447E-2
5.220938090E-1,1.977674663E-2,1.298087649E-3,-2.382372692E-2,3.098991293E-2
5.244544860E-1,1.977674663E-2,1.298087649E-3,-2.199113183E-2,2.960430067E-2
5.268151110E-1,1.855501719E-2,2.519817324E-3,-2.076940238E-2,2.796437408E-2
5.291757880E-1,1.794415340E-2,3.130682046E-3,-1.832594350E-2,2.583861483E-2
5.315364130E-1,1.855501719E-2,1.908952487E-3,-1.649334840E-2,2.489906231E-2
5.338970380E-1,1.672242396E-2,3.130682046E-3,-1.527161989E-2,2.286182423E-2
5.362577150E-1,1.427896414E-2,3.741546767E-3,-1.404988952E-2,2.037860114E-2
5.386183400E-1,1.366809942E-2,3.130682046E-3,-1.160643063E-2,1.820239940E-2
5.409790170E-1,1.305723470E-2,3.130682046E-3,-1.099556591E-2,1.735497098E-2
5.433396420E-1,1.366809942E-2,3.741546767E-3,-1.160643063E-2,1.831735095E-2
5.457003190E-1,1.244636998E-2,3.130682046E-3,-1.160643063E-2,1.730382986E-2
5.480609440E-1,1.183550525E-2,1.908952487E-3,-1.160643063E-2,1.668629726E-2
5.504216210E-1,1.000291109E-2,3.130682046E-3,-1.221729536E-2,1.609725772E-2
5.527822460E-1,1.000291109E-2,3.130682046E-3,-1.343902480E-2,1.704308622E-2
5.551428710E-1,1.061377581E-2,2.519817324E-3,-1.404988952E-2,1.778766741E-2
5.575035480E-1,8.781181648E-3,6.872228696E-4,-1.404988952E-2,1.658254570E-2
5.598641730E-1,1.000291109E-2,7.635809743E-5,-1.588248461E-2,1.877011930E-2
5.622248510E-1,1.061377581E-2,7.635809743E-5,-1.710421406E-2,2.012988341E-2
5.645854760E-1,1.183550525E-2,-2.977965865E-3,-1.649334840E-2,2.051774858E-2
5.669461010E-1,1.122464053E-2,-4.199695308E-3,-1.710421406E-2,2.088502177E-2
5.693067780E-1,1.244636998E-2,-2.977965865E-3,-1.649334840E-2,2.087608555E-2
5.716674030E-1,1.366809942E-2,-4.199695308E-3,-1.893680729E-2,2.372882325E-2
5.740280800E-1,1.305723470E-2,-2.977965865E-3,-1.954767294E-2,2.369538301E-2
5.763887050E-1,1.305723470E-2,-4.199695308E-3,-2.015853859E-2,2.438227834E-2
5.787493820E-1,1.427896414E-2,-3.588830587E-3,-2.138026804E-2,2.595928318E-2
5.811100070E-1,1.488982886E-2,-2.367100911E-3,-2.260199748E-2,2.716910857E-2
5.834706320E-1,1.244636998E-2,7.635809743E-5,-2.382372692E-2,2.687913541E-2
5.858313090E-1,1.000291109E-2,2.519817324E-3,-2.504545636E-2,2.708657590E-2
5.881919340E-1,7.559451740E-3,4.352411721E-3,-2.504545636E-2,2.652100456E-2
5.905526110E-1,6.337722298E-3,6.185005885E-3,-2.565632015E-2,2.714162459E-2
5.929132360E-1,2.672533505E-3,8.628465235E-3,-2.565632015E-2,2.719999286E-2
5.952739130E-1,8.399390499E-4,9.239329956E-3,-2.321286127E-2,2.499815281E-2
5.976345380E-1,-4.046979360E-3,9.239329956E-3,-2.199113183E-2,2.419407239E-2
5.999951630E-1,-7.712167688E-3,9.239329956E-3,-2.138026804E-2,2.453484481E-2
6.023558400E-1,-9.544761851E-3,7.406735327E-3,-2.076940238E-2,2.402769823E-2
6.047164650E-1,-1.259908639E-2,7.406735327E-3,-1.771507785E-2,2.296564149E-2
6.070771420E-1,-1.626427472E-2,5.574141163E-3,-1.710421406E-2,2.425184159E-2
6.094377670E-1,-1.931859925E-2,6.185005885E-3,-1.527161989E-2,2.539064688E-2
6.117984440E-1,-2.054032870E-2,2.519817324E-3,-1.343902480E-2,2.467512857E-2
6.141590690E-1,-2.481638081E-2,1.298087649E-3,-1.221729536E-2,2.769115552E-2
6.165196940E-1,-2.481638081E-2,7.635809743E-5,-1.099556591E-2,2.714334278E-2
6.188803710E-1,-2.725984156E-2,7.635809743E-5,-9.162971750E-3,2.875873509E-2
6.212409960E-1,-2.725984156E-2,-2.977965865E-3,-9.773836471E-3,2.911176948E-2
6.236016730E-1,-2.909243479E-2,-1.145371469E-3,-8.552107029E-3,3.034501891E-2
6.259622980E-1,-3.031416424E-2,-1.756236190E-3,-7.330377586E-3,3.123727508E-2
6.283229760E-1,-2.970330045E-2,-1.145371469E-3,-4.886918236E-3,3.012440710E-2
6.306836010E-1,-3.214675933E-2,-1.145371469E-3,-7.941242307E-3,3.313290420E-2
6.330442260E-1,-3.031416424E-2,-2.367100911E-3,-7.330377586E-3,3.127756633E-2
6.354049030E-1,-2.725984156E-2,-1.145371469E-3,-6.719512399E-3,2.809915808E-2
6.377655280E-1,-2.787070535E-2,-1.756236190E-3,-8.552107029E-3,2.920614862E-2
6.401262050E-1,-2.970330045E-2,7.635809743E-5,-8.552107029E-3,3.091003757E-2
6.424868300E-1,-2.787070535E-2,6.872228696E-4,-9.162971750E-3,2.934635486E-2
